timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780386467.005,right,pinch,0.535311,0.931046,-0.000000,0.504610,0.898129,-0.008105,0.483133,0.845645,-0.014483,0.472757,0.808944,-0.021701,0.470507,0.786759,-0.027764,0.514105,0.762668,-0.010233,0.497849,0.708642,-0.024299,0.475952,0.729954,-0.033343,0.468095,0.759980,-0.037832,0.529950,0.768503,-0.012880,0.500736,0.730917,-0.025334,0.481114,0.763925,-0.028492,0.478793,0.796419,-0.028454,0.543087,0.788014,-0.017069,0.511456,0.764818,-0.027210,0.498556,0.801702,-0.023199,0.499675,0.834722,-0.018663,0.554784,0.817773,-0.022385,0.528195,0.800656,-0.028417,0.516562,0.822529,-0.023538,0.516450,0.847071,-0.017889
1780386467.538,right,pinch,0.561575,0.652563,-0.000000,0.525819,0.622373,-0.002185,0.503706,0.579613,-0.007642,0.489322,0.550777,-0.015112,0.474856,0.524639,-0.020427,0.544743,0.494316,0.002140,0.510111,0.484719,-0.011440,0.489112,0.499440,-0.021301,0.473067,0.513150,-0.027447,0.551487,0.497855,-0.004384,0.505227,0.523287,-0.017979,0.513518,0.561193,-0.020808,0.526955,0.565825,-0.021507,0.552636,0.513552,-0.013084,0.505775,0.545885,-0.023866,0.517516,0.579900,-0.018105,0.531501,0.578025,-0.013743,0.549487,0.537437,-0.023158,0.513338,0.563277,-0.031433,0.520241,0.587557,-0.028601,0.531512,0.586326,-0.025267
1780386468.041,right,pinch,0.549281,0.640164,-0.000000,0.513065,0.612245,-0.001635,0.490707,0.572244,-0.007592,0.474125,0.544055,-0.015593,0.456991,0.517938,-0.022000,0.530625,0.485791,0.001672,0.493358,0.479074,-0.011097,0.472761,0.493503,-0.020902,0.457454,0.506225,-0.027287,0.536465,0.486408,-0.004623,0.490115,0.515933,-0.018134,0.499588,0.554171,-0.021530,0.513495,0.561464,-0.022734,0.536297,0.500207,-0.012732,0.490202,0.533770,-0.024229,0.503301,0.568236,-0.020125,0.518264,0.568696,-0.016757,0.531857,0.522003,-0.021887,0.497311,0.550890,-0.031494,0.504911,0.576777,-0.030148,0.516609,0.578011,-0.027777
1780386468.564,right,pinch,0.528613,0.632667,-0.000000,0.499204,0.607419,-0.003974,0.476137,0.568687,-0.010332,0.455903,0.542460,-0.017534,0.439168,0.517069,-0.022999,0.514649,0.482344,-0.002003,0.478984,0.473832,-0.010815,0.456924,0.487855,-0.017923,0.440678,0.501690,-0.023391,0.517166,0.482413,-0.005986,0.471171,0.506629,-0.016439,0.479322,0.543006,-0.019333,0.492533,0.552822,-0.021008,0.513882,0.496073,-0.011240,0.469903,0.526752,-0.020597,0.482015,0.559434,-0.017608,0.495875,0.562126,-0.015658,0.506275,0.517394,-0.017509,0.473774,0.543147,-0.027608,0.480221,0.568244,-0.027772,0.490190,0.571621,-0.026568
1780386469.104,right,pinch,0.583380,0.655313,-0.000000,0.547106,0.625726,-0.005463,0.521172,0.582658,-0.013594,0.502899,0.554873,-0.023099,0.487322,0.528829,-0.030426,0.566509,0.492977,-0.002960,0.527730,0.481190,-0.017784,0.503840,0.492919,-0.028501,0.484710,0.504164,-0.035375,0.573261,0.492013,-0.007951,0.523430,0.515897,-0.022767,0.531493,0.556809,-0.025513,0.545509,0.563627,-0.026063,0.573684,0.504318,-0.015126,0.523343,0.534377,-0.027683,0.535933,0.571992,-0.022263,0.551928,0.573772,-0.017767,0.569586,0.525940,-0.023814,0.532001,0.552426,-0.034481,0.539580,0.581695,-0.032680,0.552042,0.586079,-0.029595
1780386469.641,right,pinch,0.623935,0.703392,-0.000000,0.588778,0.662330,-0.003020,0.565521,0.616992,-0.009680,0.548800,0.590596,-0.018294,0.534663,0.562130,-0.025034,0.612233,0.537550,0.001385,0.580746,0.518445,-0.011570,0.559722,0.524425,-0.021739,0.542716,0.535934,-0.028488,0.621160,0.541822,-0.004819,0.576163,0.554874,-0.017791,0.583015,0.591665,-0.021318,0.597037,0.597902,-0.022877,0.624581,0.556749,-0.013164,0.578215,0.580410,-0.022917,0.588358,0.612210,-0.018202,0.602897,0.610956,-0.015060,0.622583,0.580102,-0.022960,0.586393,0.601620,-0.030789,0.593097,0.626770,-0.028394,0.605232,0.627598,-0.025713
1780386470.154,right,pinch,0.652657,0.691829,-0.000000,0.620796,0.657058,-0.005450,0.598050,0.617139,-0.013337,0.582057,0.591804,-0.022496,0.574108,0.562897,-0.029359,0.638184,0.537625,-0.001332,0.614197,0.516485,-0.014068,0.595897,0.522686,-0.022739,0.581548,0.537982,-0.028375,0.651529,0.538360,-0.005890,0.614344,0.551163,-0.017684,0.619420,0.587221,-0.019772,0.632071,0.591094,-0.020449,0.660851,0.550848,-0.012724,0.620457,0.576240,-0.021442,0.626807,0.608048,-0.015078,0.637896,0.606371,-0.011109,0.664781,0.572760,-0.021204,0.630390,0.595132,-0.028617,0.635355,0.618515,-0.025396,0.645844,0.617029,-0.022162
1780386470.666,right,pinch,0.679001,0.678023,-0.000000,0.653159,0.645715,-0.005715,0.633547,0.605627,-0.012575,0.619534,0.578234,-0.020591,0.616301,0.551333,-0.026174,0.666840,0.533168,-0.001901,0.650242,0.505141,-0.014915,0.635379,0.509108,-0.021009,0.623267,0.521479,-0.024052,0.682186,0.531992,-0.005448,0.650789,0.540205,-0.018110,0.654303,0.581222,-0.018357,0.664880,0.584470,-0.016526,0.694952,0.541788,-0.011343,0.660130,0.561590,-0.021658,0.665466,0.597675,-0.014714,0.675180,0.595890,-0.009152,0.703369,0.560504,-0.018670,0.673171,0.578931,-0.025958,0.675871,0.603891,-0.022508,0.684946,0.601642,-0.018669
1780386471.203,right,pinch,0.715803,0.649302,-0.000000,0.694299,0.621663,-0.009209,0.674473,0.579805,-0.017537,0.663791,0.541796,-0.026580,0.672085,0.521337,-0.033020,0.703808,0.515930,-0.002230,0.695557,0.487194,-0.014480,0.685989,0.484303,-0.017472,0.678448,0.492441,-0.017715,0.721266,0.515623,-0.003376,0.697458,0.519620,-0.015462,0.697730,0.561701,-0.012199,0.706121,0.563902,-0.006696,0.736966,0.525143,-0.007533,0.710596,0.539809,-0.018580,0.711687,0.575059,-0.010515,0.719368,0.573779,-0.002940,0.749287,0.541771,-0.013252,0.724721,0.555127,-0.019946,0.723904,0.579143,-0.016492,0.731188,0.577375,-0.012272
1780386471.728,right,pinch,0.755239,0.631252,-0.000000,0.735642,0.607296,-0.008191,0.716355,0.560219,-0.014162,0.711903,0.515235,-0.021581,0.725011,0.488252,-0.027056,0.738590,0.505414,0.003887,0.737142,0.478021,-0.007942,0.734832,0.472856,-0.011538,0.733520,0.472666,-0.012191,0.755857,0.506603,0.002153,0.743685,0.506421,-0.011197,0.742761,0.546035,-0.009112,0.748256,0.546348,-0.003379,0.772497,0.515990,-0.002947,0.759556,0.525878,-0.016129,0.757191,0.559979,-0.009051,0.761570,0.559057,-0.000593,0.788523,0.531054,-0.009374,0.774606,0.539423,-0.015943,0.769922,0.561632,-0.012043,0.772678,0.561068,-0.006996
