timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780370642.853,right,fist,0.586778,0.926724,-0.000000,0.551382,0.926619,-0.004542,0.512697,0.937850,-0.012121,0.486320,0.963762,-0.019530,0.468251,0.992790,-0.028896,0.496550,0.903079,-0.023180,0.468374,0.962897,-0.038154,0.457547,1.006085,-0.047477,0.449124,1.034539,-0.053021,0.516079,0.909865,-0.029141,0.490055,0.975868,-0.041754,0.477999,1.026060,-0.048498,0.468996,1.059827,-0.054119,0.537831,0.924448,-0.034471,0.516455,0.994934,-0.046535,0.508529,1.039196,-0.048466,0.503396,1.061423,-0.050209,0.558782,0.946786,-0.039659,0.543592,1.005862,-0.050354,0.537289,1.039846,-0.049826,0.534745,1.057405,-0.048611
1780370643.368,right,fist,0.489241,0.639358,-0.000000,0.452879,0.628573,-0.000869,0.428598,0.582287,-0.001482,0.429893,0.533027,-0.005469,0.435103,0.496652,-0.008528,0.430667,0.534985,0.009454,0.411410,0.490879,-0.005110,0.415188,0.528879,-0.013563,0.426476,0.558496,-0.016388,0.443764,0.520760,0.003820,0.422129,0.476775,-0.011949,0.428892,0.526601,-0.015962,0.443356,0.555596,-0.013360,0.461009,0.509514,-0.004418,0.436986,0.464131,-0.018987,0.442011,0.514598,-0.015429,0.455205,0.545096,-0.007933,0.482046,0.502359,-0.013136,0.458592,0.476075,-0.022419,0.458749,0.513861,-0.018842,0.468907,0.539684,-0.012900
1780370643.910,right,fist,0.476723,0.577068,-0.000000,0.440040,0.567809,-0.000557,0.414416,0.520026,0.000312,0.417707,0.472312,-0.001519,0.426277,0.439738,-0.002406,0.418749,0.479746,0.006698,0.402076,0.432244,-0.007129,0.410266,0.460907,-0.014758,0.420982,0.490033,-0.016991,0.435144,0.464639,0.001550,0.419326,0.417533,-0.013042,0.429315,0.462519,-0.016092,0.439035,0.492481,-0.013115,0.453984,0.455092,-0.005732,0.437798,0.409287,-0.019394,0.445689,0.458891,-0.013951,0.453956,0.490007,-0.005503,0.475538,0.450634,-0.013376,0.459298,0.419936,-0.021672,0.461387,0.456167,-0.015903,0.467044,0.480610,-0.008705
1780370644.434,right,fist,0.499495,0.567760,-0.000000,0.472074,0.559680,-0.011809,0.449175,0.524305,-0.017182,0.444825,0.491719,-0.022250,0.450080,0.471504,-0.024287,0.454672,0.423890,-0.003494,0.445558,0.432823,-0.018153,0.453989,0.476031,-0.026802,0.459914,0.487121,-0.031484,0.475342,0.412205,-0.005043,0.467996,0.431440,-0.018647,0.472619,0.481463,-0.020877,0.475995,0.484640,-0.019707,0.497388,0.416774,-0.009550,0.490841,0.430791,-0.024217,0.490887,0.477756,-0.018772,0.493023,0.481689,-0.011787,0.519364,0.430014,-0.015611,0.513843,0.431429,-0.024102,0.508044,0.467373,-0.018756,0.506324,0.477863,-0.012181
1780370644.948,right,fist,0.538239,0.567084,-0.000000,0.514100,0.565529,-0.022866,0.491619,0.555536,-0.037458,0.486812,0.566793,-0.047674,0.498843,0.572322,-0.055102,0.506542,0.478298,-0.038706,0.507915,0.564701,-0.054290,0.508397,0.595189,-0.059700,0.507850,0.586691,-0.063373,0.534193,0.474039,-0.034622,0.532498,0.572755,-0.049502,0.528114,0.596298,-0.049407,0.525448,0.578963,-0.048984,0.557934,0.484106,-0.031860,0.553309,0.574297,-0.045941,0.546792,0.591346,-0.040709,0.542946,0.576999,-0.036014,0.576459,0.500204,-0.031497,0.571819,0.562932,-0.044219,0.564813,0.579888,-0.044190,0.560301,0.573670,-0.042044
1780370645.491,right,fist,0.533495,0.604031,-0.000000,0.530194,0.539057,0.004430,0.512961,0.493221,0.002119,0.488387,0.482309,-0.000969,0.470498,0.496888,-0.004230,0.497315,0.455307,-0.007975,0.457660,0.462367,-0.011213,0.462242,0.485007,-0.011413,0.472086,0.490569,-0.011610,0.486021,0.487278,-0.013476,0.448448,0.495695,-0.014754,0.456680,0.515594,-0.011191,0.469227,0.519148,-0.009576,0.477074,0.525359,-0.017861,0.443050,0.526043,-0.018820,0.453967,0.544434,-0.012028,0.466664,0.547913,-0.008540,0.471624,0.567006,-0.021813,0.450605,0.563665,-0.023598,0.461365,0.574459,-0.018083,0.471837,0.576320,-0.013590
1780370646.028,right,fist,0.539399,0.585571,-0.000000,0.548377,0.533764,0.006069,0.546322,0.480594,0.004811,0.529939,0.447559,0.001729,0.512750,0.437913,-0.000405,0.557617,0.442145,0.000448,0.515544,0.412059,-0.007450,0.511548,0.436431,-0.011602,0.518854,0.448661,-0.013942,0.550327,0.446354,-0.006411,0.503570,0.420882,-0.012746,0.504279,0.447942,-0.011993,0.513810,0.459530,-0.011595,0.539585,0.456851,-0.013312,0.495306,0.435562,-0.017324,0.497386,0.465249,-0.012781,0.507876,0.475635,-0.010571,0.526676,0.472652,-0.020203,0.493949,0.465195,-0.024220,0.496207,0.488049,-0.023009,0.505172,0.495829,-0.021819
1780370646.531,right,fist,0.543993,0.579751,-0.000000,0.510705,0.550109,0.002264,0.497828,0.497458,0.004890,0.505848,0.465830,0.004195,0.516406,0.446527,0.004146,0.512319,0.458394,0.012892,0.503796,0.415974,0.002316,0.502976,0.450591,-0.004241,0.507812,0.481334,-0.006384,0.526774,0.454359,0.007555,0.517265,0.409368,-0.004281,0.516858,0.456558,-0.007529,0.523530,0.486136,-0.005071,0.543402,0.455033,0.000310,0.532882,0.408161,-0.010472,0.530976,0.456794,-0.006562,0.536726,0.487031,0.000339,0.561860,0.461510,-0.007102,0.548708,0.427894,-0.013530,0.543807,0.461228,-0.008864,0.547897,0.484936,-0.002639
1780370647.061,right,fist,0.569622,0.579656,-0.000000,0.535815,0.567273,-0.005433,0.514712,0.515444,-0.005444,0.510900,0.466602,-0.006910,0.509301,0.435663,-0.005925,0.518381,0.466335,0.006492,0.515013,0.418582,-0.008676,0.523788,0.456891,-0.016044,0.527545,0.485667,-0.017612,0.536834,0.457236,0.003691,0.532919,0.411906,-0.011546,0.540382,0.464071,-0.014296,0.541153,0.485974,-0.011312,0.555882,0.453901,-0.002025,0.551795,0.411279,-0.017444,0.556235,0.463781,-0.011405,0.556347,0.486838,-0.002422,0.575649,0.455791,-0.008426,0.570892,0.426104,-0.016484,0.571450,0.460990,-0.010033,0.570461,0.478640,-0.002317
1780370647.588,right,fist,0.572669,0.609184,-0.000000,0.550036,0.603619,-0.023171,0.533609,0.573651,-0.034697,0.539500,0.543839,-0.042528,0.553342,0.523864,-0.046471,0.529677,0.473696,-0.018205,0.547392,0.490965,-0.031650,0.552421,0.530351,-0.037232,0.547459,0.535460,-0.040835,0.550742,0.457166,-0.014185,0.568507,0.484923,-0.028601,0.569030,0.534600,-0.030510,0.561829,0.534929,-0.029609,0.571963,0.457730,-0.013064,0.588400,0.483397,-0.028414,0.586113,0.528582,-0.024681,0.578378,0.530861,-0.019587,0.591813,0.468835,-0.014269,0.604187,0.487602,-0.024818,0.600321,0.521749,-0.022635,0.591657,0.525813,-0.018580
